iter	RMSE
0	1.121297666
1	1.114255385
2	1.106955496
3	1.099820736
4	1.093112306
5	1.086392168
6	1.079769684
7	1.073055638
8	1.066541357
9	1.059865043
10	1.053291451
11	1.046975168
12	1.040678668
13	1.034295715
14	1.027993109
15	1.02191882
16	1.015561846
17	1.009702691
18	1.003718468
19	0.9978929265
20	0.9918450518
21	0.9859035336
22	0.9802823772
23	0.9745251841
24	0.9689755126
25	0.9637759284
26	0.9585743014
27	0.9531408579
28	0.9477903325
29	0.9423843397
30	0.9372874755
31	0.9320694202
32	0.9269682783
33	0.9218667551
34	0.9168338534
35	0.9118899332
36	0.9070352974
37	0.9023903135
38	0.8977946602
39	0.8931320962
40	0.8882976876
41	0.8837795874
42	0.8792812802
43	0.874741635
44	0.8703260728
45	0.8659230469
46	0.8615566943
47	0.8569862264
48	0.8525743545
49	0.8481649003
50	0.8436500203
51	0.8393859283
52	0.8352223213
53	0.8311159678
54	0.8268360322
55	0.8227283859
56	0.8186408922
57	0.8145771035
58	0.8108897409
59	0.8072602821
60	0.8035113184
61	0.7997571975
62	0.7962480899
63	0.7926956261
64	0.7888844382
65	0.7854299992
66	0.7818710751
67	0.7783987057
68	0.7749915778
69	0.7713898248
70	0.7680798058
71	0.7648579896
72	0.7617186257
73	0.7584229022
74	0.7552877913
75	0.7518659357
76	0.7486989974
77	0.7454131028
78	0.7422217832
79	0.7390228594
80	0.7359834786
81	0.7329076241
82	0.7298395688
83	0.7267115822
84	0.7234423898
85	0.7204677939
86	0.7175177018
87	0.714557605
88	0.7118123783
89	0.708690983
90	0.7058297057
91	0.703054474
92	0.7002341277
93	0.6977634724
94	0.6952090622
95	0.6925976187
96	0.6900058896
97	0.6875982452
98	0.6853262623
99	0.6828922586
100	0.6802858039
101	0.6778302744
102	0.6751744949
103	0.6729353844
104	0.6704499651
105	0.6679857419
106	0.6656653753
107	0.6633595517
108	0.6610585808
109	0.6588422613
110	0.6566329165
111	0.6544470141
112	0.6522933569
113	0.6500860868
114	0.6478088417
115	0.645793464
116	0.6435584472
117	0.6414824292
118	0.6393747057
119	0.6372082023
120	0.6348185691
121	0.6328618383
122	0.6308702584
123	0.6290313675
124	0.6270804352
125	0.6252104086
126	0.6233979875
127	0.6214869408
128	0.6195328921
129	0.6176503015
130	0.6157955502
131	0.6139970422
132	0.6119090814
133	0.6102427142
134	0.6081465929
135	0.6060789707
136	0.6043327619
137	0.6027310344
138	0.601015119
139	0.5990475204
140	0.5973159083
141	0.5955494302
142	0.5937178182
143	0.5919986396
144	0.5904283535
145	0.5888716416
146	0.5873489514
147	0.5853052356
148	0.5838590679
149	0.5822359496
150	0.5807920124
151	0.579340906
152	0.5775271129
153	0.5757733659
154	0.5741794159
155	0.5724407745
156	0.5709370251
157	0.56932546
158	0.5679857081
159	0.5666533295
160	0.5651169057
161	0.5637978332
162	0.5624560592
163	0.5611558129
164	0.5599257498
165	0.5584209741
166	0.5571613513
167	0.5560042642
168	0.5546659476
169	0.5532978319
